,A̱o,Trimestre,Banda ancha fija,Dial up,Total,Fecha
0,2024,2,11544314,11793,11556107,2024-04-01
1,2024,1,11621363,11793,11633156,2024-01-01
2,2023,4,11535868,11793,11547661,2023-10-01
3,2023,3,11395115,11793,11406908,2023-07-01
4,2023,2,11239781,12116,11251897,2023-04-01
5,2023,1,11229459,12436,11241895,2023-01-01
6,2022,4,11195668,12446,11208114,2022-10-01
7,2022,3,11078691,12437,11091128,2022-07-01
8,2022,2,10946248,12436,10958684,2022-04-01
9,2022,1,10611390,12619,10624009,2022-01-01
10,2021,4,10476933,12861,10489794,2021-10-01
11,2021,3,10075184,10357,10085541,2021-07-01
12,2021,2,9852702,10382,9863084,2021-04-01
13,2021,1,9637956,10016,9647972,2021-01-01
14,2020,4,9561546,10016,9571562,2020-10-01
15,2020,3,9346183,10016,9356199,2020-07-01
16,2020,2,9021040,10016,9031056,2020-04-01
17,2020,1,8802435,9991,8812426,2020-01-01
18,2019,4,8783053,10128,8793181,2019-10-01
19,2019,3,9142891,21793,9164684,2019-07-01
20,2019,2,8938427,21754,8960181,2019-04-01
21,2019,1,8626323,21812,8648135,2019-01-01
22,2018,4,8451841,21814,8473655,2018-10-01
23,2018,3,8320223,26812,8347035,2018-07-01
24,2018,2,8083533,26911,8110444,2018-04-01
25,2018,1,8009981,27072,8037053,2018-01-01
26,2017,4,7842778,27444,7870222,2017-10-01
27,2017,3,7696594,28349,7724943,2017-07-01
28,2017,2,7401134,28530,7429664,2017-04-01
29,2017,1,7277314,28540,7305854,2017-01-01
30,2016,4,7223128,28545,7251673,2016-10-01
31,2016,3,7178340,28610,7206950,2016-07-01
32,2016,2,7097604,32475,7130079,2016-04-01
33,2016,1,6874704,32652,6907356,2016-01-01
34,2015,4,6952289,32542,6984831,2015-10-01
35,2015,3,6902267,32801,6935068,2015-07-01
36,2015,2,6783279,32909,6816188,2015-04-01
37,2015,1,6699714,38018,6737732,2015-01-01
38,2014,4,6559172,39324,6598496,2014-10-01
39,2014,3,6559264,36007,6595271,2014-07-01
40,2014,2,6428329,36139,6464468,2014-04-01
41,2014,1,6362108,36290,6398398,2014-01-01
