A̱o,Trimestre,Ingresos_TV_Susc (miles de pesos),Ingresos_TV_Sat (miles de pesos),Inflacion_Trimestral,Fecha,Inflacion_Compuesta,Ingresos_Reales_TV_Susc (miles de pesos),Ingresos_Reales_TV_Sat (miles de pesos)
2017,1,9607361.148,5262244.081,1.062,2017-01-01,1.062,9044503.055,4953949.574
2017,2,9936138.830,5764634.735,1.054,2017-04-01,1.119,8875837.309,5149481.194
2017,3,10764742.397,6093649.614,1.051,2017-07-01,1.176,9150866.758,5180075.252
2017,4,11642559.206,6844906.427,1.061,2017-10-01,1.248,9327051.675,5483570.650
2018,1,12277309.945,7145424.817,1.066,2018-01-01,1.331,9223075.830,5367852.992
2018,2,13358361.555,7797684.058,1.087,2018-04-01,1.447,9228918.508,5387201.898
2018,3,14197598.627,8179602.998,1.141,2018-07-01,1.651,8597826.777,4953429.909
2018,4,15211246.862,8270871.026,1.116,2018-10-01,1.843,8254123.114,4488046.794
2019,1,17479491.543,8816484.129,1.118,2019-01-01,2.061,8481555.596,4278013.472
2019,2,18392209.465,9937613.375,1.095,2019-04-01,2.256,8151376.905,4404323.054
2019,3,20284731.231,10896197.622,1.126,2019-07-01,2.540,7987045.026,4290341.342
2019,4,22785446.512,12150588.862,1.117,2019-10-01,2.838,8029916.555,4282040.934
2020,1,25147465.800,12352763.877,1.078,2020-01-01,3.059,8221888.594,4038699.137
2020,2,24620009.490,12544725.928,1.053,2020-04-01,3.220,7645089.911,3895431.383
2020,3,25386154.603,12933200.331,1.076,2020-07-01,3.465,7327461.744,3733040.003
2020,4,26324098.621,14479622.619,1.114,2020-10-01,3.860,6820241.581,3751487.399
2021,1,31924515.008,18038360.963,1.129,2021-01-01,4.358,7325144.224,4138938.229
2021,2,33674995.793,18038442.364,1.110,2021-04-01,4.837,6962555.555,3729581.968
2021,3,36398025.527,18039519.503,1.093,2021-07-01,5.285,6887117.757,3413380.075
2021,4,38273391.795,18038065.444,1.101,2021-10-01,5.820,6576503.657,3099474.538
2022,1,42113438.812,21268086.244,1.161,2022-01-01,6.755,6234364.233,3148472.315
2022,2,46322065.493,23559484.830,1.173,2022-04-01,7.924,5845510.297,2973036.925
2022,3,52399891.490,27073190.886,1.220,2022-07-01,9.671,5418166.234,2799376.956
2022,4,62432903.148,29721126.935,1.172,2022-10-01,11.334,5508381.351,2622259.948
2023,1,74739351.280,33430741.330,1.217,2023-01-01,13.793,5418524.230,2423693.527
2023,2,87015368.630,38625145.740,1.239,2023-04-01,17.085,5093000.887,2260725.946
2023,3,103738032.780,51179479.920,1.347,2023-07-01,23.006,4509125.301,2224590.939
2023,4,133582200.790,64748818.980,1.533,2023-10-01,35.272,3787229.364,1835713.344
2024,1,191063855.970,94270533.970,1.515,2024-01-01,53.450,3574660.805,1763730.671
2024,2,266233894.580,124814891.560,1.186,2024-04-01,63.383,4200406.739,1969220.758
